event,phase,n,intensity_mean,intensity_std,intensity_engweighted_mean,intensity_engweighted_std,intensity_topicweighted_mean,intensity_topicweighted_std,intensity_engweighted_topicweighted_mean,intensity_engweighted_topicweighted_std,split_mean,split_std
China Retaliation & US Tariffs,during,4.0,0.28536414705,0.043058847986587837,0.303115403825,0.05729042467081734,0.1969245327,0.027110269581612285,0.035219470075,0.025931195906040337,0.8873493566499999,0.0007249343896982632
China Retaliation & US Tariffs,post,5.0,0.34846977822,0.1950348020887904,0.35496152634000006,0.1905997313896019,0.27293366562,0.04807941930749148,0.13760479432,0.04198163835657017,0.9189190887999998,0.022451060539577666
China Retaliation & US Tariffs,Δ during-pre,,0.007254066569999995,,0.007637124105000004,,-0.07366508138,,-0.070036248725,,0.007434926009999843,
China Retaliation & US Tariffs,Δ post-during,,0.06310563117000001,,0.05184612251500004,,0.07600913292,,0.10238532424499999,,0.03156973214999992,
Global Tariffs,pre,5.0,0.37173212542000006,0.05376568533159639,0.37892020304,0.05388319812555459,0.27942640135999997,0.03680796847775346,0.12797779678,0.044890012067643884,0.89827288192,0.029748222353303367
Global Tariffs,during,3.0,0.34563785539999997,0.1948193770893193,0.3465706860666667,0.18734085451635804,0.21399663363333332,0.10752508470775995,0.06916483186666667,0.07941080435149005,0.9057244706,0.04065215343851603
Global Tariffs,post,5.0,0.36705579176,0.174818493692119,0.36529876488,0.1779706356414932,0.27417097830000003,0.11204443521337132,0.12690914694000002,0.10414274656316864,0.9000927587399999,0.023945443580349824
Global Tariffs,Δ during-pre,,-0.026094270020000088,,-0.032349516973333325,,-0.06542976772666664,,-0.05881296491333335,,0.007451588680000065,
Global Tariffs,Δ post-during,,0.021417936360000056,,0.018728078813333326,,0.06017434466666671,,0.05774431507333336,,-0.00563171186000011,
US-China Tariff Threats,pre,5.0,0.32395398608,0.1524093826943484,0.32448790764,0.14919707089245582,0.2192411043,0.0913389111929736,0.06915258394,0.06949666700392897,0.8992061909,0.032150295551686935
US-China Tariff Threats,during,3.0,0.4174741982000001,0.21178058362195376,0.41458878146666667,0.21596804341416856,0.30554642363333334,0.12804504482914933,0.16542577020000002,0.11302516437436579,0.9072020836666668,0.026492991858052727
US-China Tariff Threats,post,5.0,0.21436638353999998,0.07882771066322224,0.21360212608,0.0772037064423587,0.0659125374,0.09082632566625579,0.011009879439999998,0.02282335026485294,0.87906124878,0.044805045633260585
US-China Tariff Threats,Δ during-pre,,0.09352021212000011,,0.09010087382666665,,0.08630531933333335,,0.09627318626000002,,0.00799589276666679,
US-China Tariff Threats,Δ post-during,,-0.2031078146600001,,-0.20098665538666666,,-0.23963388623333334,,-0.15441589076,,-0.028140834886666743,
Tariffs Relaxed,pre,5.0,0.28256615124000006,0.05441777195291819,0.28591946732,0.06408649838300169,0.2532835961,0.04826707672841541,0.07240236250000001,0.03639680555394423,0.8460237025999999,0.079328404094712
Tariffs Relaxed,during,5.0,0.29138124362,0.026377220627207067,0.29711462354,0.03708722942344955,0.24798751466,0.014892022956623717,0.05372516540000001,0.014285938508365605,0.8437723801600001,0.025916109518221642
Tariffs Relaxed,post,5.0,0.28301451188000004,0.02524993542613744,0.27858211098,0.026092507780802063,0.24018293495999998,0.02135067462275051,0.04137953938000001,0.020366626698331856,0.8291920339200001,0.011810856513612257
Tariffs Relaxed,Δ during-pre,,0.008815092379999945,,0.011195156220000002,,-0.005296081440000017,,-0.0186771971,,-0.0022513224399998144,
Tariffs Relaxed,Δ post-during,,-0.008366731739999966,,-0.018532512559999992,,-0.007804579700000008,,-0.01234562602,,-0.014580346240000042,
Trade Deals,pre,5.0,0.29138124362,0.026377220627207067,0.29711462354,0.03708722942344955,0.24798751466,0.014892022956623717,0.05372516540000001,0.014285938508365605,0.8437723801600001,0.025916109518221642
Trade Deals,during,8.0,0.2706185562875,0.060036376057622416,0.2677958195,0.059734875562486495,0.2200551890375,0.04510196115625364,0.036191933962500006,0.026590616912089447,0.85137968535,0.03870368592140222
Trade Deals,post,5.0,0.29851762022000006,0.08928928393533879,0.30992999158000006,0.09884078950348599,0.28635290954,0.09416493099110243,0.0781053678,0.0573189514289914,0.8054977000600001,0.06443480674048066
Trade Deals,Δ during-pre,,-0.02076268733250003,,-0.029318804040000035,,-0.027932325622500004,,-0.017533231437500005,,0.007607305189999858,
Trade Deals,Δ post-during,,0.02789906393250008,,0.04213417208000009,,0.06629772050249999,,0.0419134338375,,-0.04588198528999987,
Apple Tariff Threat,pre,5.0,0.23736509622000002,0.08548822768677632,0.23969182194,0.09179882339446604,0.21886449908000002,0.09930435581584113,0.03808279702,0.055722521675389575,0.8546475972199999,0.07204131101263472
Apple Tariff Threat,during,4.0,0.339525484375,0.03862506263709759,0.35230603365,0.040757995006532995,0.3117660739,0.05276343439558981,0.11135186894999999,0.028566764757023678,0.818620197225,0.05995331795878962
Apple Tariff Threat,post,5.0,0.23836706388000004,0.047275918339864866,0.24428717272,0.04862453953708686,0.23346910192,0.031047774368835976,0.0654273557,0.020293921728641976,0.8771889103000001,0.028255651063988724
Apple Tariff Threat,Δ during-pre,,0.102160388155,,0.11261421171000002,,0.09290157481999997,,0.07326907192999998,,-0.03602739999499993,
Apple Tariff Threat,Δ post-during,,-0.10115842049499998,,-0.10801886093000002,,-0.07829697197999999,,-0.04592451324999999,,0.05856871307500011,
