event,phase,n,ei_community_mean,ei_community_std,ei_community_topicweighted_mean,ei_community_topicweighted_std,ei_creator_mean,ei_creator_std,ei_creator_engweighted_mean,ei_creator_engweighted_std,ei_creator_topicweighted_mean,ei_creator_topicweighted_std
Tariffs Relaxed,pre,5.0,-0.37855569640000003,0.11549827997577838,-0.3594656982,0.10754582031912195,-0.18657660607999998,0.07284030351058404,-0.19328323822,0.07074693727942333,-0.14710149396,0.0763024208202487
Tariffs Relaxed,during,5.0,-0.3941332108,0.03329098977170129,-0.37712187978000006,0.031526992251421575,-0.18862927648000002,0.026321782554437397,-0.20009603624,0.04639810833509295,-0.11885314956000001,0.0378602868734742
Tariffs Relaxed,post,5.0,-0.41309646440000003,0.014110155754155227,-0.39584025574000004,0.011699943551747152,-0.010624868640000004,0.18121000434180567,-0.05029090274,0.16132959230315602,-0.04644124046,0.09303961846506316
Tariffs Relaxed,Δ during-pre,,-0.015577514399999992,,-0.01765618158000004,,-0.0020526704000000395,,-0.0068127980200000104,,0.028248344399999986,
Tariffs Relaxed,Δ post-during,,-0.018963253600000007,,-0.018718375959999978,,0.17800440784000002,,0.1498051335,,0.0724119091,
Trade Deals,pre,5.0,-0.3941332108,0.03329098977170129,-0.37712187978000006,0.031526992251421575,-0.18862927648000002,0.026321782554437397,-0.20009603624,0.04639810833509295,-0.11885314956000001,0.0378602868734742
Trade Deals,during,8.0,-0.38185139557500003,0.05666771665956641,-0.364734385625,0.05511217805611401,0.057162324500000014,0.18261121821288936,0.03226608069999999,0.18381738310207468,-0.016124869637499997,0.0957543751060466
Trade Deals,post,5.0,-0.43548911024,0.07787437639627358,-0.41564208234000005,0.07384814696601616,-0.15285047804000002,0.12126904987397827,-0.18437087286,0.12751515063212981,-0.15531491852,0.11894503760602937
Trade Deals,Δ during-pre,,0.012281815224999992,,0.012387494155000067,,0.24579160098000002,,0.23236211693999997,,0.10272827992250001,
Trade Deals,Δ post-during,,-0.05363771466499995,,-0.05090769671500006,,-0.21001280254000004,,-0.21663695356,,-0.13919004888250003,
Apple Tariff Threat,pre,5.0,-0.37160388678,0.0952821736537547,-0.35394730828000004,0.09111534852068054,-0.01749640476,0.14218747895807746,-0.03269525094,0.15050757676607862,-0.08203287172,0.11553333506422832
Apple Tariff Threat,during,4.0,-0.42158502485000005,0.06972201544618688,-0.4039042753,0.0647165910266669,-0.2574659439,0.03332287671597316,-0.283027042425,0.0158614217510268,-0.21962787247499999,0.0633097418913366
Apple Tariff Threat,post,5.0,-0.34850632764,0.0411465263704173,-0.33285324232,0.03955592998162631,-0.12822780012,0.06217003658880695,-0.14006801780000003,0.06502038802778118,-0.13408496156,0.03979270257680866
Apple Tariff Threat,Δ during-pre,,-0.04998113807000004,,-0.049956967019999965,,-0.23996953914,,-0.250331791485,,-0.13759500075499997,
Apple Tariff Threat,Δ post-during,,0.07307869721000004,,0.07105103297999998,,0.12923814377999998,,0.14295902462499996,,0.08554291091499999,
