event,phase,n,ccd_mean,ccd_std,ccd_engweighted_mean,ccd_engweighted_std,ccd_topicweighted_mean,ccd_topicweighted_std,ccd_engweighted_topicweighted_mean,ccd_engweighted_topicweighted_std
US-China Tariff Threats,pre,5.0,0.1560225876,0.18449368118513956,0.15490927986,0.18085286550152818,0.1000630646,0.06381420899879041,0.06915258394,0.06949666700392897
US-China Tariff Threats,during,3.0,0.22980529140000003,0.12434668156549043,0.22691987466666666,0.12280859271670355,0.18264948603333334,0.14550850741973784,0.16542577020000002,0.11302516437436579
US-China Tariff Threats,post,5.0,0.16067341658,0.05119543072191216,0.15990915912,0.052706061817617,0.04389279868,0.06475249606896023,0.011009879439999998,0.02282335026485294
US-China Tariff Threats,Δ during-pre,,0.07378270380000002,,0.07201059480666666,,0.08258642143333333,,0.09627318626000002,
US-China Tariff Threats,Δ post-during,,-0.06913187482000002,,-0.06701071554666665,,-0.13875668735333335,,-0.15441589076,
Tariffs Relaxed,pre,5.0,0.10530793308000001,0.06337805102801276,0.09907360280000001,0.059352985128921724,0.11759587007999998,0.05631770092182687,0.07240236250000001,0.03639680555394423
Tariffs Relaxed,during,5.0,0.10275196715999999,0.01431102194858405,0.09701858726,0.01597105638573234,0.12913436512,0.03149450640027918,0.05372516540000001,0.014285938508365605
Tariffs Relaxed,post,5.0,0.20123579787999998,0.08901367990831108,0.18140278086,0.0787040703240369,0.17469950764000003,0.050127659361892875,0.04137953938000001,0.020366626698331856
Tariffs Relaxed,Δ during-pre,,-0.002555965920000028,,-0.0020550155400000103,,0.011538495040000027,,-0.0186771971,
Tariffs Relaxed,Δ post-during,,0.09848383072,,0.0843841936,,0.04556514252000002,,-0.01234562602,
Trade Deals,pre,5.0,0.10275196715999999,0.01431102194858405,0.09701858726,0.01597105638573234,0.12913436512,0.03149450640027918,0.05372516540000001,0.014285938508365605
Trade Deals,during,8.0,0.21950686003749997,0.0900605846365971,0.207058738175,0.08803972741824072,0.1743047579875,0.05284549849592642,0.036191933962500006,0.026590616912089447
Trade Deals,post,5.0,0.14131931611999998,0.030010151012947517,0.12555911870000003,0.0373197588234111,0.13016358192000002,0.025256959542759895,0.0781053678,0.0573189514289914
Trade Deals,Δ during-pre,,0.11675489287749999,,0.11004015091500001,,0.04517039286749999,,-0.017533231437500005,
Trade Deals,Δ post-during,,-0.07818754391749999,,-0.08149961947499998,,-0.04414117606749998,,0.0419134338375,
Apple Tariff Threat,pre,5.0,0.17705374102,0.04933095557556525,0.16945431794000002,0.052217330224712644,0.13595721828000001,0.028554650813313216,0.03808279702,0.055722521675389575
Apple Tariff Threat,during,4.0,0.082059540475,0.03865089020722528,0.069278991225,0.029919189695572206,0.09213820142500001,0.036251900300321285,0.11135186894999999,0.028566764757023678
Apple Tariff Threat,post,5.0,0.11013926375999998,0.023325149255918783,0.10421915492,0.024413068198369053,0.09938414038000001,0.024700224584411838,0.0654273557,0.020293921728641976
Apple Tariff Threat,Δ during-pre,,-0.09499420054499999,,-0.10017532671500001,,-0.043819016855000004,,0.07326907192999998,
Apple Tariff Threat,Δ post-during,,0.028079723284999983,,0.034940163695,,0.007245938955000003,,-0.04592451324999999,
