asset,feature,mean_abs_shap
r_btc,epi_signed_engweighted_topicweighted_xlag2,0.0
r_btc,epi_signed_topicweighted_xlag2,0.0
r_btc,epi_topicweighted_xlag2,0.0
r_btc,ccd_xlag0,0.0
r_btc,ccd_engweighted_xlag0,0.0
r_btc,ccd_engweighted_topicweighted_xlag0,0.0
r_btc,ccd_topicweighted_xlag0,0.0
r_btc,intensity_xlag0,0.0
r_btc,intensity_engweighted_xlag0,0.0
r_btc,intensity_engweighted_topicweighted_xlag0,0.0
r_btc,intensity_topicweighted_xlag0,0.0
r_btc,intensity_xlag1,0.0
r_btc,intensity_engweighted_xlag1,0.0
r_btc,intensity_engweighted_topicweighted_xlag1,0.0
r_btc,intensity_topicweighted_xlag1,0.0
r_btc,intensity_xlag2,0.0
r_btc,intensity_engweighted_xlag2,0.0
r_btc,intensity_engweighted_topicweighted_xlag2,0.0
r_btc,intensity_topicweighted_xlag2,0.0
r_btc,intensity_xlag3,0.0
r_btc,intensity_engweighted_xlag3,0.0
r_btc,intensity_engweighted_topicweighted_xlag3,0.0
r_btc,intensity_topicweighted_xlag3,0.0
r_btc,surprise_xlag0,0.0
r_btc,surprise_engweighted_xlag0,0.0
r_btc,surprise_engweighted_topicweighted_xlag0,0.0
r_btc,surprise_topicweighted_xlag0,0.0
r_btc,surprise_xlag1,0.0
r_btc,surprise_engweighted_xlag1,0.0
r_btc,surprise_engweighted_topicweighted_xlag1,0.0
r_btc,surprise_topicweighted_xlag1,0.0
r_btc,surprise_xlag2,0.0
r_btc,surprise_engweighted_xlag2,0.0
r_btc,surprise_engweighted_topicweighted_xlag2,0.0
r_btc,surprise_topicweighted_xlag2,0.0
r_btc,surprise_xlag3,0.0
r_btc,surprise_engweighted_xlag3,0.0
r_btc,surprise_engweighted_topicweighted_xlag3,0.0
r_btc,surprise_topicweighted_xlag3,0.0
r_btc,split_xlag0,0.0
r_gold,r_btc_lag1,0.0
r_gold,r_gold_lag1,0.0
r_gold,r_spx_lag1,0.0
r_gold,r_btc_lag2,0.0
r_gold,r_gold_lag2,0.0
r_gold,r_spx_lag2,0.0
r_gold,r_btc_lag3,0.0
r_gold,r_gold_lag3,0.0
r_gold,r_spx_lag3,0.0
r_gold,r_btc_lag4,0.0
r_gold,r_gold_lag4,0.0
r_gold,r_spx_lag4,0.0
r_gold,dln_eurusd_xlag0,0.0
r_gold,dln_usdcny_xlag0,0.0
r_gold,dln_oil_xlag0,0.0
r_gold,dy10_xlag0,0.0
r_gold,dln_eurusd_xlag1,0.0
r_gold,dln_usdcny_xlag1,0.0
r_gold,dln_oil_xlag1,0.0
r_gold,dy10_xlag1,0.0
r_gold,dln_eurusd_xlag2,0.0
r_gold,dln_usdcny_xlag2,0.0
r_gold,dln_oil_xlag2,0.0
r_gold,dy10_xlag2,0.0
r_gold,dln_eurusd_xlag3,0.0
r_gold,dln_usdcny_xlag3,0.0
r_gold,dln_oil_xlag3,0.0
r_gold,dy10_xlag3,0.0
r_gold,ei_community_xlag0,0.0
r_gold,ei_community_topicweighted_xlag0,0.0
r_gold,ei_creator_xlag0,0.0
r_gold,ei_creator_engweighted_xlag0,0.0
r_gold,ei_creator_engweighted_topicweighted_xlag0,0.0
r_gold,ei_creator_topicweighted_xlag0,0.0
r_gold,ei_community_xlag1,0.0
r_gold,ei_community_topicweighted_xlag1,0.0
r_gold,ei_creator_xlag1,0.0
r_gold,ei_creator_engweighted_xlag1,0.0
r_gold,ei_creator_engweighted_topicweighted_xlag1,0.0
r_gold,ei_creator_topicweighted_xlag1,0.0
r_gold,ei_community_xlag2,0.0
r_gold,ei_community_topicweighted_xlag2,0.0
r_gold,ei_creator_xlag2,0.0
r_gold,ei_creator_engweighted_xlag2,0.0
r_gold,ei_creator_engweighted_topicweighted_xlag2,0.0
r_gold,ei_creator_topicweighted_xlag2,0.0
r_gold,ei_community_xlag3,0.0
r_gold,ei_community_topicweighted_xlag3,0.0
r_gold,ei_creator_xlag3,0.0
r_gold,ei_creator_engweighted_xlag3,0.0
r_gold,ei_creator_engweighted_topicweighted_xlag3,0.0
r_gold,ei_creator_topicweighted_xlag3,0.0
r_gold,epi_xlag0,0.0
r_gold,epi_engweighted_xlag0,0.0
r_gold,epi_engweighted_topicweighted_xlag0,0.0
r_gold,epi_signed_xlag0,0.0
r_gold,epi_signed_engweighted_xlag0,0.0
r_gold,epi_signed_engweighted_topicweighted_xlag0,0.0
r_gold,epi_signed_topicweighted_xlag0,0.0
r_gold,epi_topicweighted_xlag0,0.0
r_gold,epi_xlag1,0.0
r_gold,epi_engweighted_xlag1,0.0
r_gold,epi_engweighted_topicweighted_xlag1,0.0
r_gold,epi_signed_xlag1,0.0
r_gold,epi_signed_engweighted_xlag1,0.0
r_gold,epi_signed_engweighted_topicweighted_xlag1,0.0
r_gold,epi_signed_topicweighted_xlag1,0.0
r_gold,epi_topicweighted_xlag1,0.0
r_gold,epi_xlag2,0.0
r_gold,epi_engweighted_xlag2,0.0
r_gold,epi_engweighted_topicweighted_xlag2,0.0
r_gold,epi_signed_xlag2,0.0
r_gold,epi_signed_engweighted_xlag2,0.0
r_gold,epi_signed_engweighted_topicweighted_xlag2,0.0
r_gold,epi_signed_topicweighted_xlag2,0.0
r_gold,epi_topicweighted_xlag2,0.0
r_gold,ccd_xlag0,0.0
r_gold,ccd_engweighted_xlag0,0.0
r_gold,ccd_engweighted_topicweighted_xlag0,0.0
r_gold,ccd_topicweighted_xlag0,0.0
r_gold,intensity_xlag0,0.0
r_gold,intensity_engweighted_xlag0,0.0
r_gold,intensity_engweighted_topicweighted_xlag0,0.0
r_gold,intensity_topicweighted_xlag0,0.0
r_gold,intensity_xlag1,0.0
r_gold,intensity_engweighted_xlag1,0.0
r_gold,intensity_engweighted_topicweighted_xlag1,0.0
r_gold,intensity_topicweighted_xlag1,0.0
r_gold,intensity_xlag2,0.0
r_gold,intensity_engweighted_xlag2,0.0
r_gold,intensity_engweighted_topicweighted_xlag2,0.0
r_gold,intensity_topicweighted_xlag2,0.0
r_gold,intensity_xlag3,0.0
r_gold,intensity_engweighted_xlag3,0.0
r_gold,intensity_engweighted_topicweighted_xlag3,0.0
r_gold,intensity_topicweighted_xlag3,0.0
r_gold,surprise_xlag0,0.0
r_gold,surprise_engweighted_xlag0,0.0
r_gold,surprise_engweighted_topicweighted_xlag0,0.0
r_gold,surprise_topicweighted_xlag0,0.0
r_gold,surprise_xlag1,0.0
r_gold,surprise_engweighted_xlag1,0.0
r_gold,surprise_engweighted_topicweighted_xlag1,0.0
r_gold,surprise_topicweighted_xlag1,0.0
r_gold,surprise_xlag2,0.0
r_gold,surprise_engweighted_xlag2,0.0
r_gold,surprise_engweighted_topicweighted_xlag2,0.0
r_gold,surprise_topicweighted_xlag2,0.0
r_gold,surprise_xlag3,0.0
r_gold,surprise_engweighted_xlag3,0.0
r_gold,surprise_engweighted_topicweighted_xlag3,0.0
r_gold,surprise_topicweighted_xlag3,0.0
r_gold,split_xlag0,0.0
r_spx,r_btc_lag1,0.0
r_spx,r_gold_lag1,0.0
r_spx,r_spx_lag1,0.0
r_spx,r_btc_lag2,0.0
r_spx,r_gold_lag2,0.0
r_spx,r_spx_lag2,0.0
r_spx,r_btc_lag3,0.0
r_spx,r_gold_lag3,0.0
r_spx,r_spx_lag3,0.0
r_spx,r_btc_lag4,0.0
r_spx,r_gold_lag4,0.0
r_spx,r_spx_lag4,0.0
r_spx,dln_eurusd_xlag0,0.0
r_spx,dln_usdcny_xlag0,0.0
r_spx,dln_oil_xlag0,0.0
r_spx,dy10_xlag0,0.0
r_spx,dln_eurusd_xlag1,0.0
r_spx,dln_usdcny_xlag1,0.0
r_spx,dln_oil_xlag1,0.0
r_spx,dy10_xlag1,0.0
r_spx,dln_eurusd_xlag2,0.0
r_spx,dln_usdcny_xlag2,0.0
r_spx,dln_oil_xlag2,0.0
r_spx,dy10_xlag2,0.0
r_spx,dln_eurusd_xlag3,0.0
r_spx,dln_usdcny_xlag3,0.0
r_spx,dln_oil_xlag3,0.0
r_spx,dy10_xlag3,0.0
r_spx,ei_community_xlag0,0.0
r_spx,ei_community_topicweighted_xlag0,0.0
r_spx,ei_creator_xlag0,0.0
r_spx,ei_creator_engweighted_xlag0,0.0
